Datetime,Close,High,Low,Open,Volume
2026-03-17 00:00:00+00:00,74965.6171875,75447.015625,74682.5703125,74871.296875,1561542656
2026-03-17 00:30:00+00:00,75204.6015625,75204.6015625,74940.71875,75162.3984375,960966656
2026-03-17 01:00:00+00:00,75954.96875,75954.96875,75108.96875,75286.53125,822804480
2026-03-17 01:30:00+00:00,75620.7421875,75921.28125,75474.90625,75921.28125,1153249280
2026-03-17 02:00:00+00:00,75146.890625,75648.9765625,75125.734375,75635.125,1229914112
2026-03-17 02:30:00+00:00,75211.6171875,75423.0859375,75156.1015625,75199.4453125,1637855232
2026-03-17 03:00:00+00:00,74844.1328125,75302.1796875,74779.171875,75190.9453125,578760704
2026-03-17 03:30:00+00:00,74423.7109375,74775.078125,74309.4609375,74775.078125,0
2026-03-17 04:00:00+00:00,74396.265625,74652.7421875,74312.40625,74545.046875,223961088
2026-03-17 04:30:00+00:00,74271.78125,74472.625,74001.8671875,74416.9921875,1465413632
2026-03-17 05:00:00+00:00,74406.1015625,74409.484375,74147.5390625,74245.1484375,324681728
2026-03-17 05:30:00+00:00,73991.4453125,74448.46875,73839.921875,74412.59375,1193656320
2026-03-17 06:00:00+00:00,74182.0078125,74239.9921875,73889.7578125,74053.3671875,66179072
2026-03-17 06:30:00+00:00,74082.6640625,74267.0,73985.765625,74223.03125,267333632
2026-03-17 07:00:00+00:00,74423.203125,74435.90625,74082.6328125,74082.6328125,297701376
2026-03-17 07:30:00+00:00,74257.4609375,74402.21875,74235.203125,74402.21875,151478272
2026-03-17 08:00:00+00:00,74300.1328125,74425.5859375,74158.890625,74254.4609375,55918592
2026-03-17 08:30:00+00:00,74167.9765625,74425.8515625,74167.9765625,74348.1328125,0
2026-03-17 09:00:00+00:00,74267.2890625,74347.3984375,74008.578125,74185.6875,139587584
2026-03-17 09:30:00+00:00,73950.484375,74308.359375,73873.8203125,74308.359375,443043840
2026-03-17 10:00:00+00:00,73781.1953125,73938.5546875,73614.75,73932.1953125,433143808
2026-03-17 10:30:00+00:00,73720.25,73763.421875,73648.4765625,73763.0078125,89276416
2026-03-17 11:00:00+00:00,74044.78125,74055.2734375,73702.8828125,73736.875,393404416
2026-03-17 11:30:00+00:00,74057.859375,74166.2890625,73964.390625,74009.875,285077504
2026-03-17 12:00:00+00:00,73831.28125,74160.3125,73831.28125,74036.2421875,449941504
2026-03-17 12:30:00+00:00,73729.296875,73900.125,73705.09375,73795.6640625,328982528
2026-03-17 13:00:00+00:00,73692.5546875,73847.15625,73692.5546875,73741.6640625,162623488
2026-03-17 13:30:00+00:00,73668.1796875,74091.9609375,73488.921875,73715.3203125,24678400
2026-03-17 14:00:00+00:00,73895.84375,73895.84375,73459.25,73648.8671875,2715860992
2026-03-17 14:30:00+00:00,74383.1484375,74410.984375,73963.8046875,73997.3359375,1288052736
2026-03-17 15:00:00+00:00,74109.2578125,74816.5,74062.5234375,74396.6875,1440264192
2026-03-17 15:30:00+00:00,73949.9375,74157.171875,73738.90625,74101.59375,418869248
2026-03-17 16:00:00+00:00,74225.8046875,74347.2109375,73905.640625,73943.6171875,2442633216
2026-03-17 16:30:00+00:00,74139.8671875,74260.0546875,74025.34375,74236.75,711356416
2026-03-17 17:00:00+00:00,74294.7421875,74439.15625,74039.1171875,74165.3046875,987602944
2026-03-17 17:30:00+00:00,74534.34375,74582.2109375,74300.0546875,74301.1796875,75661312
2026-03-17 18:00:00+00:00,74452.2421875,74657.6015625,74418.953125,74502.8359375,0
2026-03-17 18:30:00+00:00,74696.8046875,74757.0078125,74439.84375,74439.84375,327798784
2026-03-17 19:00:00+00:00,74596.640625,74810.171875,74596.640625,74669.46875,81154048
2026-03-17 19:30:00+00:00,74509.2109375,74757.8984375,74485.6015625,74651.5,158474240
2026-03-17 20:00:00+00:00,74679.125,74679.125,74399.4453125,74510.2265625,300085248
2026-03-17 20:30:00+00:00,74568.0078125,74673.3125,74518.6875,74673.3125,267853824
2026-03-17 21:00:00+00:00,74616.0546875,74770.953125,74501.109375,74547.59375,0
2026-03-17 21:30:00+00:00,74700.4921875,74797.6953125,74534.8203125,74593.96875,251355136
2026-03-17 22:00:00+00:00,74431.4375,74791.140625,74431.4375,74663.78125,80678912
2026-03-17 22:30:00+00:00,74309.75,74375.828125,73972.3984375,74375.828125,353955840
2026-03-17 23:00:00+00:00,74208.2421875,74401.6015625,74149.15625,74328.9609375,123240448
2026-03-17 23:30:00+00:00,73936.8515625,74217.7265625,73936.8515625,74217.7265625,1161166848
2026-03-18 00:00:00+00:00,73745.1171875,74082.5234375,73727.5,73933.515625,0
2026-03-18 00:30:00+00:00,73855.84375,73879.4453125,73607.1796875,73771.109375,29659136
2026-03-18 01:00:00+00:00,74054.53125,74054.53125,73869.1328125,73869.1328125,0
2026-03-18 01:30:00+00:00,74098.3125,74216.4921875,74040.78125,74040.78125,0
2026-03-18 02:00:00+00:00,74208.5546875,74295.21875,74089.375,74089.375,107831296
2026-03-18 02:30:00+00:00,74352.140625,74468.1015625,74224.1640625,74231.8515625,107716608
2026-03-18 03:00:00+00:00,74557.96875,74598.1640625,74288.6171875,74350.484375,0
2026-03-18 03:30:00+00:00,74520.84375,74614.859375,74438.875,74542.953125,0
2026-03-18 04:00:00+00:00,74311.3359375,74495.1484375,74300.03125,74488.171875,0
2026-03-18 04:30:00+00:00,74185.9453125,74263.8359375,74179.2890625,74231.59375,0
2026-03-18 05:00:00+00:00,74101.6484375,74301.109375,74101.4921875,74184.734375,128348160
2026-03-18 05:30:00+00:00,73950.6171875,74156.640625,73898.4609375,74113.6171875,0
2026-03-18 06:00:00+00:00,74210.1484375,74221.609375,74000.484375,74004.7890625,532664320
2026-03-18 06:30:00+00:00,73963.078125,74227.5390625,73963.078125,74186.765625,147693568
2026-03-18 07:00:00+00:00,73835.265625,73978.3515625,73835.265625,73964.40625,200826880
2026-03-18 07:30:00+00:00,73888.078125,73907.7421875,73739.234375,73821.6875,130215936
2026-03-18 08:00:00+00:00,74020.5859375,74051.84375,73889.796875,73889.796875,303443968
2026-03-18 08:30:00+00:00,74030.09375,74118.8984375,74021.46875,74036.5859375,161824768
2026-03-18 09:00:00+00:00,74158.8515625,74216.7578125,74039.984375,74039.984375,6885376
2026-03-18 09:30:00+00:00,74154.8046875,74264.984375,74138.1015625,74161.9765625,0
2026-03-18 10:00:00+00:00,74197.2734375,74264.2578125,74105.28125,74203.2890625,1085673472
2026-03-18 10:30:00+00:00,73936.0546875,74203.9609375,73854.3828125,74203.9609375,205803520
2026-03-18 11:00:00+00:00,73784.625,73993.3125,73771.3671875,73928.75,66482176
2026-03-18 11:30:00+00:00,72931.2109375,73612.3671875,72884.6171875,73612.3671875,2019127296
2026-03-18 12:00:00+00:00,72840.3203125,72969.7421875,72718.2265625,72969.7421875,847044608
2026-03-18 12:30:00+00:00,72383.359375,72849.4609375,72352.828125,72849.4609375,1994473472
2026-03-18 13:00:00+00:00,72479.2109375,72537.0703125,72179.859375,72272.1953125,540344320
2026-03-18 13:30:00+00:00,72050.671875,72507.78125,72002.1015625,72389.7265625,132317184
2026-03-18 14:00:00+00:00,71651.875,72196.3359375,71651.875,72167.140625,861896704
2026-03-18 14:30:00+00:00,71315.328125,71812.5234375,71315.328125,71728.40625,943742976
2026-03-18 15:00:00+00:00,71289.0546875,71420.5234375,70978.140625,71077.0,939999232
2026-03-18 15:30:00+00:00,71515.359375,71515.359375,71251.2578125,71265.8671875,1253683200
2026-03-18 16:00:00+00:00,71292.8203125,71551.2890625,71138.625,71452.140625,636952576
2026-03-18 16:30:00+00:00,71329.96875,71403.734375,71133.4765625,71224.609375,143085568
2026-03-18 17:00:00+00:00,71472.328125,71488.0078125,71219.640625,71316.6328125,93786112
2026-03-18 17:30:00+00:00,71616.7109375,71710.953125,71371.3671875,71419.2109375,746401792
2026-03-18 18:00:00+00:00,71645.4375,71948.5546875,71587.4375,71775.625,672215040
2026-03-18 18:30:00+00:00,70992.875,71781.6796875,70992.875,71669.421875,516845568
2026-03-18 19:00:00+00:00,71298.4140625,71453.0234375,71176.03125,71184.4765625,388231168
2026-03-18 19:30:00+00:00,71111.2421875,71288.0390625,71001.71875,71288.0390625,1414901760
2026-03-18 20:00:00+00:00,70993.046875,71058.625,70605.0234375,71058.625,723091456
2026-03-18 20:30:00+00:00,71240.7265625,71273.40625,70989.515625,70990.90625,548794368
2026-03-18 21:00:00+00:00,71279.7578125,71406.578125,71234.8359375,71234.8359375,949678080
2026-03-18 21:30:00+00:00,71293.0625,71358.7421875,71190.4296875,71248.1875,136646656
2026-03-18 22:00:00+00:00,71059.078125,71218.265625,70985.78125,71218.265625,353902592
2026-03-18 22:30:00+00:00,71139.421875,71139.421875,70979.8203125,71088.953125,337440768
2026-03-18 23:00:00+00:00,71208.953125,71250.1640625,71091.03125,71119.5390625,250982400
2026-03-18 23:30:00+00:00,71250.3515625,71349.421875,71240.265625,71241.3125,296964096
2026-03-19 00:00:00+00:00,71215.5078125,71285.5546875,71111.7578125,71216.484375,144932864
2026-03-19 00:30:00+00:00,71010.4921875,71298.9609375,71010.4921875,71298.9609375,551108608
2026-03-19 01:00:00+00:00,71047.8828125,71087.625,70964.4453125,71058.0703125,269000704
2026-03-19 01:30:00+00:00,71140.328125,71165.8671875,71036.7109375,71094.9375,53485568
2026-03-19 02:00:00+00:00,71210.921875,71233.4921875,70936.203125,71075.46875,261324800
2026-03-19 02:30:00+00:00,71050.7421875,71253.0234375,71050.7421875,71231.171875,100102144
2026-03-19 03:00:00+00:00,71538.7265625,71593.9453125,71060.1328125,71060.1328125,1303097344
2026-03-19 03:30:00+00:00,71223.125,71496.3125,71223.125,71496.3125,898125824
2026-03-19 04:00:00+00:00,70698.765625,71199.2578125,70698.765625,71157.5390625,568897536
2026-03-19 04:30:00+00:00,70841.8359375,70863.8359375,70719.2109375,70719.2109375,283930624
2026-03-19 05:00:00+00:00,70718.0390625,70894.46875,70718.0390625,70854.7421875,72638464
2026-03-19 05:30:00+00:00,70835.7734375,70845.796875,70688.65625,70710.953125,380727296
2026-03-19 06:00:00+00:00,70788.53125,70930.9453125,70735.9140625,70834.140625,233590784
2026-03-19 06:30:00+00:00,70538.578125,70728.6796875,70532.890625,70715.9765625,302571520
2026-03-19 07:00:00+00:00,69816.1953125,70543.28125,69519.03125,70543.28125,2226237440
2026-03-19 07:30:00+00:00,70220.4609375,70288.9140625,69834.578125,69834.578125,1756626944
2026-03-19 08:00:00+00:00,70070.2265625,70256.6875,70070.2265625,70202.65625,743510016
2026-03-19 08:30:00+00:00,69960.1171875,70122.0,69960.1171875,70070.78125,710541312
2026-03-19 09:00:00+00:00,70185.7265625,70428.2421875,69992.7421875,69992.7421875,356241408
2026-03-19 09:30:00+00:00,70494.7734375,70530.7578125,70176.46875,70329.375,1066110976
2026-03-19 10:00:00+00:00,70423.7265625,70499.0703125,70416.5625,70499.0703125,583376896
2026-03-19 10:30:00+00:00,70119.53125,70381.390625,70119.53125,70381.390625,260759552
2026-03-19 11:00:00+00:00,70199.390625,70201.5078125,70097.265625,70134.71875,92999680
2026-03-19 11:30:00+00:00,69915.0,70229.7265625,69915.0,70219.359375,12013568
2026-03-19 12:00:00+00:00,69561.1484375,69935.6484375,69561.1484375,69934.671875,512000
2026-03-19 12:30:00+00:00,69308.4140625,69733.0078125,69186.2265625,69575.265625,390316032
2026-03-19 13:00:00+00:00,69334.34375,69404.875,69099.8671875,69288.171875,719958016
2026-03-19 13:30:00+00:00,69897.484375,69997.40625,69265.078125,69335.5390625,757026816
2026-03-19 14:00:00+00:00,69164.671875,70009.0546875,69164.671875,70009.0546875,17846272
2026-03-19 14:30:00+00:00,69560.4921875,69560.4921875,69132.6796875,69153.2890625,117850112
2026-03-19 15:00:00+00:00,69250.6953125,69847.2890625,69235.84375,69508.1953125,10899456
2026-03-19 15:30:00+00:00,69452.3203125,69531.40625,68829.8515625,69214.53125,714035200
2026-03-19 16:00:00+00:00,69534.5625,69571.46875,69236.4296875,69425.8359375,1612177408
